Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12471.0,2,79,39963.79,4,4,4,12,Champions
12472.0,32,19,17880.59,3,4,4,11,Champions
12473.0,29,5,3938.5499999999997,3,2,4,9,New Customers
12474.0,17,31,12424.45,4,4,4,12,Champions
12475.0,54,2,1149.64,3,1,2,6,New Customers
12476.0,16,23,14115.41,4,4,4,12,Champions
12477.0,23,9,20276.37,3,3,4,10,Champions
12480.0,28,7,5464.85,3,3,4,10,Champions
12481.0,23,15,12361.39,3,4,4,11,Champions
12482.0,576,29,23691.4,1,4,4,9,At Risk High-Value
12483.0,17,19,5120.58,4,4,4,12,Champions
12484.0,33,12,6370.15,3,4,4,11,Champions
12488.0,10,3,1298.66,4,1,2,7,New Customers
12490.0,5,21,9823.64,4,4,4,12,Champions
12492.0,63,3,715.21,2,1,2,5,Needs Attention
12493.0,166,2,433.74,2,1,1,4,Hibernating
12494.0,16,9,1872.8700000000001,4,3,3,10,Champions
12496.0,620,2,54.09,1,1,1,3,Hibernating
12497.0,82,3,6248.5,2,1,4,7,Needs Attention
12498.0,21,3,403.70000000000005,3,1,1,5,Promising
12500.0,23,19,5955.21,3,4,4,11,Champions
12502.0,96,5,3723.87,2,2,4,8,Potential Loyalists
12504.0,18,4,779.05,4,2,2,8,New Customers
12507.0,134,4,1844.06,2,2,3,7,Potential Loyalists
12508.0,26,2,398.27,3,1,1,5,Promising
12510.0,143,9,5178.02,2,3,4,9,At Risk High-Value
12512.0,66,2,138.03,2,1,1,4,Hibernating
12514.0,267,2,1597.76,1,1,3,5,Needs Attention
12516.0,78,4,2648.62,2,2,3,7,Potential Loyalists
12517.0,28,5,2502.84,3,2,3,8,New Customers
12518.0,1,5,2056.89,4,2,3,9,New Customers
12519.0,64,2,726.54,2,1,2,5,Needs Attention
12520.0,79,5,2634.26,2,2,3,7,Potential Loyalists
12522.0,39,2,192.72,3,1,1,5,Promising
12523.0,19,23,4372.15,4,4,4,12,Champions
12524.0,9,17,11126.11,4,4,4,12,Champions
12525.0,498,3,973.73,1,1,2,4,Needs Attention
12526.0,1,3,1316.66,4,1,2,7,New Customers
12527.0,82,5,735.51,2,2,2,6,Potential Loyalists
12528.0,9,6,1933.48,4,3,3,10,Champions
12530.0,60,9,3759.26,3,3,4,10,Champions
12531.0,15,2,1933.2,4,1,3,8,New Customers
12533.0,628,2,1367.89,1,1,2,4,Needs Attention
12535.0,92,2,716.35,2,1,2,5,Needs Attention
12536.0,43,3,12601.830000000002,3,1,4,8,New Customers
12538.0,29,2,640.45,3,1,1,5,Promising
12539.0,22,7,11214.75,3,3,4,10,Champions
12540.0,20,33,22254.49,3,4,4,11,Champions
12541.0,30,3,981.18,3,1,2,6,New Customers
12542.0,484,2,481.88,1,1,1,3,Hibernating
12545.0,75,2,1000.39,2,1,2,5,Needs Attention
12546.0,47,2,1161.5,3,1,2,6,New Customers
12547.0,198,3,383.58,2,1,1,4,Hibernating
12549.0,576,6,1575.68,1,3,3,7,At Risk High-Value
12552.0,39,2,437.82,3,1,1,5,Promising
12553.0,8,12,4608.75,4,4,4,12,Champions
12556.0,50,2,603.71,3,1,1,5,Promising
12557.0,16,8,18716.14,4,3,4,11,Champions
12559.0,311,2,561.71,1,1,1,3,Hibernating
12560.0,5,3,2134.01,4,1,3,8,New Customers
12562.0,8,9,4966.92,4,3,4,11,Champions
12567.0,23,15,13709.86,3,4,4,11,Champions
12569.0,2,32,4124.69,4,4,4,12,Champions
12571.0,40,2,519.61,3,1,1,5,Promising
12572.0,9,2,1020.42,4,1,2,7,New Customers
12573.0,227,5,717.41,1,2,2,5,Needs Attention
12575.0,457,2,622.8199999999999,1,1,1,3,Hibernating
12576.0,36,8,2142.72,3,3,3,9,Champions
12577.0,35,8,1653.75,3,3,3,9,Champions
12578.0,21,4,4642.45,3,2,4,9,New Customers
12580.0,247,2,1052.9,1,1,2,4,Needs Attention
12582.0,239,4,1980.4,1,2,3,6,Needs Attention
12583.0,3,27,14447.44,4,4,4,12,Champions
12584.0,4,9,2338.15,4,3,3,10,Champions
12585.0,234,2,2040.1,1,1,3,5,Needs Attention
12586.0,17,4,2062.67,4,2,3,9,New Customers
12588.0,39,4,958.78,3,2,2,7,New Customers
12589.0,29,8,4695.66,3,3,4,10,Champions
12590.0,211,2,9864.26,2,1,4,7,Needs Attention
12591.0,317,3,1352.15,1,1,2,4,Needs Attention
12592.0,92,5,2582.66,2,2,3,7,Potential Loyalists
12593.0,109,3,418.09999999999997,2,1,1,4,Hibernating
12594.0,38,15,5090.110000000001,3,4,4,11,Champions
12596.0,51,2,618.27,3,1,1,5,Promising
12597.0,19,4,3811.22,4,2,4,10,New Customers
12598.0,10,11,4534.09,4,4,4,12,Champions
12599.0,29,13,2296.72,3,4,3,10,Champions
12600.0,29,21,5043.92,3,4,4,11,Champions
12601.0,190,6,681.26,2,3,1,6,Promising
12604.0,79,2,254.18,2,1,1,4,Hibernating
12605.0,376,4,1232.95,1,2,2,5,Needs Attention
12609.0,78,9,3435.86,2,3,4,9,At Risk High-Value
12610.0,23,5,2099.54,3,2,3,8,New Customers
12613.0,57,10,6835.07,3,4,4,11,Champions
12615.0,2,8,5740.98,4,3,4,11,Champions
12616.0,95,3,1131.1,2,1,2,5,Needs Attention
12619.0,16,10,3781.38,4,4,4,12,Champions
12620.0,15,3,1339.41,4,1,2,7,New Customers
12621.0,2,35,24775.81,4,4,4,12,Champions
12623.0,276,7,3747.84,1,3,4,8,At Risk High-Value
12624.0,106,2,641.13,2,1,1,4,Hibernating
12625.0,212,4,5164.88,2,2,4,8,Potential Loyalists
12626.0,23,9,6620.48,3,3,4,10,Champions
12627.0,11,7,4478.53,4,3,4,11,Champions
12628.0,4,3,786.46,4,1,2,7,New Customers
12629.0,386,2,1558.22,1,1,3,5,Needs Attention
12630.0,10,2,1270.88,4,1,2,7,New Customers
12631.0,57,6,3481.57,3,3,4,10,Champions
12632.0,521,2,804.88,1,1,2,4,Needs Attention
12633.0,59,7,5678.16,3,3,4,10,Champions
12634.0,536,2,490.0,1,1,1,3,Hibernating
12635.0,90,4,2930.41,2,2,3,7,Potential Loyalists
12637.0,67,12,8340.31,2,4,4,10,At Risk High-Value
12638.0,33,2,921.49,3,1,2,6,New Customers
12639.0,239,3,1312.37,1,1,2,4,Needs Attention
12640.0,24,3,1174.58,3,1,2,6,New Customers
12642.0,25,3,1013.26,3,1,2,6,New Customers
12643.0,128,12,8350.42,2,4,4,10,At Risk High-Value
12644.0,130,4,1918.49,2,2,3,7,Potential Loyalists
12645.0,34,8,3539.3,3,3,4,10,Champions
12646.0,5,2,1346.97,4,1,2,7,New Customers
12647.0,22,36,17924.35,3,4,4,11,Champions
12648.0,155,4,1112.0,2,2,2,6,Potential Loyalists
12649.0,107,8,2294.65,2,3,3,8,At Risk High-Value
12651.0,335,4,377.75,1,2,1,4,Hibernating
12652.0,331,2,1017.03,1,1,2,4,Needs Attention
12653.0,149,3,4160.83,2,1,4,7,Needs Attention
12654.0,11,5,601.98,4,2,1,7,Promising
12656.0,17,8,6407.83,4,3,4,11,Champions
12657.0,11,4,1643.18,4,2,3,9,New Customers
12662.0,1,20,6988.02,4,4,4,12,Champions
12663.0,625,2,239.4,1,1,1,3,Hibernating
12664.0,8,11,6070.04,4,4,4,12,Champions
12665.0,325,3,313.6,1,1,1,3,Hibernating
12668.0,12,10,11444.68,4,4,4,12,Champions
12669.0,151,3,2744.0299999999997,2,1,3,6,Needs Attention
12670.0,10,7,3760.29,4,3,4,11,Champions
12672.0,330,2,437.05,1,1,1,3,Hibernating
12673.0,5,3,1230.02,4,1,2,7,New Customers
12674.0,39,4,1970.6,3,2,3,8,New Customers
12675.0,554,2,958.5,1,1,2,4,Needs Attention
12676.0,25,11,2843.09,3,4,3,10,Champions
12677.0,555,2,395.1,1,1,1,3,Hibernating
12678.0,42,21,34281.18,3,4,4,11,Champions
12679.0,59,4,1113.02,3,2,2,7,New Customers
12680.0,1,4,880.81,4,2,2,8,New Customers
12681.0,15,45,30868.28,4,4,4,12,Champions
12682.0,4,52,24033.91,4,4,4,12,Champions
12683.0,4,21,12696.78,4,4,4,12,Champions
12684.0,8,7,2283.63,4,3,3,10,Champions
12685.0,28,6,2863.08,3,3,3,9,Champions
12687.0,481,2,2138.91,1,1,3,5,Needs Attention
12689.0,26,2,1247.61,3,1,2,6,New Customers
12691.0,28,7,1170.4,3,3,2,8,Loyal High-Value
12693.0,127,7,1703.02,2,3,3,8,At Risk High-Value
12694.0,70,3,1843.35,2,1,3,6,Needs Attention
12695.0,7,7,1407.1200000000001,4,3,3,10,Champions
12696.0,435,2,851.91,1,1,2,4,Needs Attention
12697.0,29,3,957.59,3,1,2,6,New Customers
12700.0,8,4,4939.99,4,2,4,10,New Customers
12701.0,80,6,2446.41,2,3,3,8,At Risk High-Value
12703.0,71,4,1006.53,2,2,2,6,Potential Loyalists
12704.0,7,8,2340.84,4,3,3,10,Champions
12705.0,15,14,11762.1,4,4,4,12,Champions
12708.0,30,18,5314.1,3,4,4,11,Champions
12709.0,15,34,31093.34,4,4,4,12,Champions
12710.0,97,3,1149.02,2,1,2,5,Needs Attention
12711.0,612,2,1339.05,1,1,2,4,Needs Attention
12712.0,29,21,7193.66,3,4,4,11,Champions
12714.0,9,12,14093.71,4,4,4,12,Champions
12716.0,4,2,1053.49,4,1,2,7,New Customers
12717.0,151,3,1308.91,2,1,2,5,Needs Attention
12719.0,5,2,644.95,4,1,1,6,Promising
12720.0,3,30,8260.67,4,4,4,12,Champions
12721.0,32,8,4013.08,3,3,4,10,Champions
12722.0,85,4,997.63,2,2,2,6,Potential Loyalists
12723.0,4,5,725.07,4,2,2,8,New Customers
12724.0,5,7,2317.52,4,3,3,10,Champions
12725.0,371,4,2694.56,1,2,3,6,Needs Attention
12726.0,28,11,4014.6,3,4,4,11,Champions
12727.0,11,10,5679.53,4,4,4,12,Champions
12728.0,71,5,1070.17,2,2,2,6,Potential Loyalists
12731.0,24,17,25775.71,3,4,4,11,Champions
12733.0,234,4,2424.87,1,2,3,6,Needs Attention
12734.0,353,3,639.65,1,1,1,3,Hibernating
12735.0,315,2,779.5699999999999,1,1,2,4,Needs Attention
12737.0,499,2,3710.5,1,1,4,6,Needs Attention
12739.0,78,4,2726.73,2,2,3,7,Potential Loyalists
12741.0,529,2,406.07,1,1,1,3,Hibernating
12743.0,134,2,546.43,2,1,1,4,Hibernating
12744.0,52,11,25317.06,3,4,4,11,Champions
12745.0,487,3,925.41,1,1,2,4,Needs Attention
12747.0,2,26,9276.539999999999,4,4,4,12,Champions
12748.0,1,336,56599.39,4,4,4,12,Champions
12749.0,4,9,6897.36,4,3,4,11,Champions
12753.0,23,6,21429.39,3,3,4,10,Champions
12754.0,236,3,3010.74,1,1,3,5,Needs Attention
12755.0,281,11,9030.66,1,4,4,9,At Risk High-Value
12757.0,16,13,7857.1,4,4,4,12,Champions
12758.0,117,7,9903.24,2,3,4,9,At Risk High-Value
12759.0,52,8,5020.74,3,3,4,10,Champions
12761.0,458,2,782.95,1,1,2,4,Needs Attention
12762.0,8,2,1898.52,4,1,3,8,New Customers
12763.0,138,2,814.16,2,1,2,5,Needs Attention
12765.0,472,6,1404.58,1,3,3,7,At Risk High-Value
12766.0,4,9,10068.28,4,3,4,11,Champions
12770.0,211,2,3246.45,2,1,4,7,Needs Attention
12775.0,17,7,1686.12,4,3,3,10,Champions
12778.0,20,9,1775.68,3,3,3,9,Champions
12779.0,38,14,6722.2699999999995,3,4,4,11,Champions
12781.0,64,2,826.74,2,1,2,5,Needs Attention
12782.0,5,11,4618.24,4,4,4,12,Champions
12783.0,2,6,2225.91,4,3,3,10,Champions
12784.0,9,3,1804.75,4,1,3,8,New Customers
12785.0,364,3,1100.4,1,1,2,4,Needs Attention
12787.0,10,4,862.18,4,2,2,8,New Customers
12788.0,463,4,444.9,1,2,1,4,Hibernating
12789.0,65,3,273.35,2,1,1,4,Hibernating
12790.0,192,2,591.85,2,1,1,4,Hibernating
12791.0,374,6,1056.1100000000001,1,3,2,6,Promising
12792.0,257,2,827.01,1,1,2,4,Needs Attention
12793.0,335,3,1017.33,1,1,2,4,Needs Attention
12794.0,53,2,860.41,3,1,2,6,New Customers
12797.0,366,2,806.11,1,1,2,4,Needs Attention
12798.0,10,4,8510.93,4,2,4,10,New Customers
12800.0,470,3,584.25,1,1,1,3,Hibernating
12802.0,187,7,2416.42,2,3,3,8,At Risk High-Value
12804.0,466,2,327.02,1,1,1,3,Hibernating
12805.0,382,4,1434.95,1,2,3,6,Needs Attention
12806.0,435,4,2878.96,1,2,3,6,Needs Attention
12808.0,37,5,906.1,3,2,2,7,New Customers
12809.0,178,3,1755.94,2,1,3,6,Needs Attention
12810.0,535,2,534.99,1,1,1,3,Hibernating
12811.0,261,5,1033.9,1,2,2,5,Needs Attention
12813.0,502,3,1687.8,1,1,3,5,Needs Attention
12815.0,148,2,1063.46,2,1,2,5,Needs Attention
12816.0,96,2,572.2,2,1,1,4,Hibernating
12817.0,281,3,690.98,1,1,1,3,Hibernating
12820.0,3,11,2689.52,4,4,3,11,Champions
12821.0,214,2,220.8,2,1,1,4,Hibernating
12822.0,71,2,948.88,2,1,2,5,Needs Attention
12823.0,75,18,6501.5,2,4,4,10,At Risk High-Value
12825.0,521,2,518.63,1,1,1,3,Hibernating
12826.0,3,12,2955.75,4,4,3,11,Champions
12827.0,6,3,430.15000000000003,4,1,1,6,Promising
12828.0,3,6,1018.71,4,3,2,9,Loyal High-Value
12829.0,337,3,385.3,1,1,1,3,Hibernating
12830.0,38,6,6814.64,3,3,4,10,Champions
12831.0,262,3,451.11,1,1,1,3,Hibernating
12832.0,32,2,383.03,3,1,1,5,Promising
12835.0,428,41,6043.31,1,4,4,9,At Risk High-Value
12836.0,59,15,6585.62,3,4,4,11,Champions
12837.0,173,2,688.41,2,1,1,4,Hibernating
12838.0,34,10,3398.48,3,4,4,11,Champions
12839.0,3,26,10071.73,4,4,4,12,Champions
12840.0,144,7,4041.97,2,3,4,9,At Risk High-Value
12841.0,5,40,7540.68,4,4,4,12,Champions
12842.0,70,4,1917.99,2,2,3,7,Potential Loyalists
12843.0,66,30,6588.41,2,4,4,10,At Risk High-Value
12844.0,29,4,648.6,3,2,1,6,Promising
12845.0,267,4,354.09,1,2,1,4,Hibernating
12847.0,22,2,1636.8999999999999,3,1,3,7,New Customers
12849.0,31,6,3090.56,3,3,3,9,Champions
12851.0,97,2,284.13,2,1,1,4,Hibernating
12853.0,135,11,3907.5,2,4,4,10,At Risk High-Value
12854.0,79,7,2994.02,2,3,3,8,At Risk High-Value
12855.0,373,4,650.9399999999999,1,2,1,4,Hibernating
12856.0,8,6,2179.93,4,3,3,10,Champions
12857.0,211,6,3688.0,2,3,4,9,At Risk High-Value
12862.0,426,2,1008.3199999999999,1,1,2,4,Needs Attention
12863.0,52,6,2792.5499999999997,3,3,3,9,Champions
12864.0,138,2,299.57,2,1,1,4,Hibernating
12865.0,26,4,3323.47,3,2,4,9,New Customers
12866.0,283,3,1227.35,1,1,2,4,Needs Attention
12867.0,26,13,7913.29,3,4,4,11,Champions
12868.0,186,8,2247.06,2,3,3,8,At Risk High-Value
12870.0,375,3,1676.95,1,1,3,5,Needs Attention
12871.0,84,3,744.02,2,1,2,5,Needs Attention
12872.0,327,12,3685.4900000000002,1,4,4,9,At Risk High-Value
12873.0,282,3,2027.3,1,1,3,5,Needs Attention
12874.0,385,2,948.42,1,1,2,4,Needs Attention
12875.0,143,5,1356.99,2,2,2,6,Potential Loyalists
12876.0,58,4,4081.79,3,2,4,9,New Customers
12877.0,4,20,2955.17,4,4,3,11,Champions
12878.0,236,2,854.99,1,1,2,4,Needs Attention
12879.0,45,3,573.22,3,1,1,5,Promising
12880.0,382,2,640.13,1,1,1,3,Hibernating
12882.0,9,2,1463.04,4,1,3,8,New Customers
12883.0,25,4,703.47,3,2,2,7,New Customers
12885.0,63,3,1175.22,2,1,2,5,Needs Attention
12886.0,68,2,1378.4,2,1,2,5,Needs Attention
12888.0,214,2,354.12,2,1,1,4,Hibernating
12889.0,381,4,385.46000000000004,1,2,1,4,Hibernating
12890.0,24,2,717.27,3,1,2,6,New Customers
12891.0,186,11,840.5,2,4,2,8,Potential Loyalists
12895.0,42,2,372.8,3,1,1,5,Promising
12897.0,205,4,514.25,2,2,1,5,Hibernating
12898.0,464,2,310.96000000000004,1,1,1,3,Hibernating
12901.0,9,28,17654.54,4,4,4,12,Champions
12904.0,18,2,509.58,4,1,1,6,Promising
12905.0,577,2,1018.42,1,1,2,4,Needs Attention
12906.0,12,5,2919.81,4,2,3,9,New Customers
12907.0,396,2,508.91,1,1,1,3,Hibernating
12908.0,176,5,1776.0,2,2,3,7,Potential Loyalists
12909.0,40,8,3103.19,3,3,3,9,Champions
12910.0,23,13,5796.52,3,4,4,11,Champions
12912.0,3,5,1662.3,4,2,3,9,New Customers
12913.0,5,13,6700.860000000001,4,4,4,12,Champions
12915.0,149,4,1174.75,2,2,2,6,Potential Loyalists
12916.0,139,7,4654.0199999999995,2,3,4,9,At Risk High-Value
12917.0,128,6,4359.2,2,3,4,9,At Risk High-Value
12919.0,8,6,1335.19,4,3,2,9,Loyal High-Value
12920.0,17,4,488.09000000000003,4,2,1,7,Promising
12921.0,9,74,35921.04,4,4,4,12,Champions
12923.0,64,3,789.87,2,1,2,5,Needs Attention
12924.0,88,12,2469.4,2,4,3,9,At Risk High-Value
12925.0,5,3,729.3299999999999,4,1,2,7,New Customers
12926.0,411,4,1548.46,1,2,3,6,Needs Attention
12928.0,35,12,4304.89,3,4,4,11,Champions
12930.0,78,2,415.8,2,1,1,4,Hibernating
12931.0,22,57,92347.34,3,4,4,11,Champions
12932.0,539,8,1698.56,1,3,3,7,At Risk High-Value
12933.0,24,8,1687.03,3,3,3,9,Champions
12935.0,2,15,4243.86,4,4,4,12,Champions
12936.0,17,4,1063.9,4,2,2,8,New Customers
12937.0,15,9,3097.61,4,3,3,10,Champions
12939.0,64,20,25264.8,2,4,4,10,At Risk High-Value
12940.0,55,2,913.54,3,1,2,6,New Customers
12942.0,131,3,942.65,2,1,2,5,Needs Attention
12943.0,558,2,496.5,1,1,1,3,Hibernating
12944.0,36,2,604.51,3,1,1,5,Promising
12945.0,288,2,900.11,1,1,2,4,Needs Attention
12947.0,144,6,1908.03,2,3,3,8,At Risk High-Value
12948.0,16,9,2317.43,4,3,3,10,Champions
12949.0,31,22,15526.7,3,4,4,11,Champions
12950.0,2,3,1843.0,4,1,3,8,New Customers
12951.0,9,15,3213.7200000000003,4,4,3,11,Champions
12952.0,6,4,1387.79,4,2,2,8,New Customers
12953.0,10,2,828.8100000000001,4,1,2,7,New Customers
12955.0,1,11,4757.16,4,4,4,12,Champions
12956.0,306,4,521.89,1,2,1,4,Hibernating
12957.0,10,13,8706.97,4,4,4,12,Champions
12958.0,400,2,539.49,1,1,1,3,Hibernating
12960.0,414,4,1322.07,1,2,2,5,Needs Attention
12962.0,7,2,266.39,4,1,1,6,Promising
12963.0,8,12,3601.59,4,4,4,12,Champions
12967.0,358,3,4306.92,1,1,4,6,Needs Attention
12970.0,7,10,1524.97,4,4,3,11,Champions
12971.0,4,116,15972.79,4,4,4,12,Champions
12972.0,414,4,1161.2,1,2,2,5,Needs Attention
12974.0,198,2,408.95,2,1,1,4,Hibernating
12975.0,437,6,2100.09,1,3,3,7,At Risk High-Value
12976.0,212,8,3156.38,2,3,3,8,At Risk High-Value
12977.0,156,4,517.63,2,2,1,5,Hibernating
12978.0,385,5,2502.82,1,2,3,6,Needs Attention
12980.0,158,21,16245.78,2,4,4,10,At Risk High-Value
12981.0,30,2,372.21999999999997,3,1,1,5,Promising
12982.0,243,8,2744.81,1,3,3,7,At Risk High-Value
12985.0,1,2,1239.38,4,1,2,7,New Customers
12986.0,429,10,2729.84,1,4,3,8,At Risk High-Value
12987.0,74,5,1312.21,2,2,2,6,Potential Loyalists
12989.0,3,33,13551.75,4,4,4,12,Champions
12990.0,31,7,955.5,3,3,2,8,Loyal High-Value
12991.0,23,3,764.82,3,1,2,6,New Customers
12993.0,23,8,1259.6299999999999,3,3,2,8,Loyal High-Value
12994.0,4,3,974.4200000000001,4,1,2,7,New Customers
12997.0,22,8,2110.91,3,3,3,9,Champions
12998.0,493,3,920.08,1,1,2,4,Needs Attention
12999.0,196,3,455.88,2,1,1,4,Hibernating
13000.0,107,4,1032.5,2,2,2,6,Potential Loyalists
13001.0,4,33,24172.100000000002,4,4,4,12,Champions
13002.0,318,3,414.13,1,1,1,3,Hibernating
13003.0,106,3,149.05,2,1,1,4,Hibernating
13004.0,12,36,11650.85,4,4,4,12,Champions
13005.0,174,4,999.68,2,2,2,6,Potential Loyalists
13008.0,323,3,612.13,1,1,1,3,Hibernating
13010.0,374,2,330.12,1,1,1,3,Hibernating
13012.0,9,11,2972.83,4,4,3,11,Champions
13013.0,1,29,12625.77,4,4,4,12,Champions
13014.0,11,11,5381.08,4,4,4,12,Champions
13015.0,53,11,6586.42,3,4,4,11,Champions
13016.0,73,3,789.89,2,1,2,5,Needs Attention
13018.0,16,35,9763.16,4,4,4,12,Champions
13019.0,379,6,1229.95,1,3,2,6,Promising
13020.0,563,2,618.96,1,1,1,3,Hibernating
13021.0,4,17,4887.24,4,4,4,12,Champions
13023.0,64,3,1449.03,2,1,3,6,Needs Attention
13024.0,471,2,555.87,1,1,1,3,Hibernating
13026.0,1,9,1733.08,4,3,3,10,Champions
13027.0,114,19,17335.2,2,4,4,10,At Risk High-Value
13028.0,23,2,661.3199999999999,3,1,1,5,Promising
13029.0,31,5,1927.3,3,2,3,8,New Customers
13030.0,11,2,1227.22,4,1,2,7,New Customers
13031.0,407,5,3419.27,1,2,4,7,Needs Attention
13032.0,52,9,2843.55,3,3,3,9,Champions
13033.0,357,2,220.55,1,1,1,3,Hibernating
13034.0,55,3,922.68,3,1,2,6,New Customers
13035.0,74,3,1364.2,2,1,2,5,Needs Attention
13037.0,138,12,3914.9500000000003,2,4,4,10,At Risk High-Value
13038.0,80,3,908.46,2,1,2,5,Needs Attention
13039.0,584,4,1010.73,1,2,2,5,Needs Attention
13040.0,9,2,676.99,4,1,1,6,Promising
13041.0,451,4,799.13,1,2,2,5,Needs Attention
13042.0,598,3,1556.54,1,1,3,5,Needs Attention
13044.0,291,11,4853.9,1,4,4,9,At Risk High-Value
13045.0,99,3,808.92,2,1,2,5,Needs Attention
13046.0,31,3,949.25,3,1,2,6,New Customers
13047.0,32,24,8795.16,3,4,4,11,Champions
13048.0,14,9,4084.21,4,3,4,11,Champions
